Latitude	Longitude	Group
36.18465	-99.97431	00754
41.77922	-94.77995	00726
34.95199	-103.92097	00134
34.44357	-101.70506	00622
36.08193	-93.82800	05317
42.95795	-95.24629	01386
44.63043	-102.63029	00227
43.29513	-82.66357	06605
43.38821	-76.60406	05469
35.55140	-101.03551	00115
40.67646	-86.36964	05395
36.49853	-99.79713	00564
41.15722	-83.47880	06139
43.64168	-92.57458	00718
44.85029	-72.53044	03257
41.42592	-72.73396	07636
43.08203	-84.28573	06662
46.34300	-93.57337	06285
44.38673	-97.10879	00427
40.01189	-91.33810	06630
41.46210	-71.76886	07848
37.62192	-99.84275	00279
42.67797	-90.25496	05179
36.20337	-93.29991	03537
45.04155	-96.70609	00313
36.92115	-100.39664	02033
45.11980	-71.08838	02745
40.59973	-83.72054	05867
35.87960	-92.53055	05220
42.03279	-95.06841	00373
40.36196	-86.29793	04545
41.54440	-73.72365	05301
39.09103	-100.19374	01393
42.56723	-77.32449	05103
34.86106	-76.57737	06561
43.35556	-89.32497	05809
38.87779	-76.19049	07187
37.67878	-100.12394	00105
41.83305	-95.08430	00769
40.14204	-78.45013	06607
36.12587	-93.36002	04697
36.16921	-99.35737	01597
41.55025	-99.87386	01143
43.33205	-99.20637	00226
40.73946	-87.29332	03579
38.67878	-98.59783	00299
40.83721	-89.25894	04431
36.21712	-84.24310	04291
34.78385	-101.55106	00470
40.79992	-87.36820	04478
41.32925	-87.62690	04703
43.95653	-95.84571	00392
43.06917	-95.10964	01203
41.09223	-103.09452	01429
40.18702	-94.64222	03582
40.09016	-86.64829	04852
41.95803	-77.93063	07278
43.50812	-94.84940	01205
35.17081	-99.01070	01761
46.04325	-69.96873	04946
44.23942	-95.33126	01870
42.92259	-74.86969	05081
41.88239	-89.26393	04636
41.79186	-73.34135	07668
37.62737	-100.72917	00419
42.02259	-73.46301	06028
36.70150	-100.58598	00764
45.68824	-103.58857	00430
45.22329	-96.93303	00051
37.57251	-100.29456	00343
42.50809	-77.91457	04990
42.52765	-95.23269	01437
40.24430	-85.29268	07856
45.63452	-69.29135	02944
43.55756	-93.79044	02774
43.10320	-95.28516	01250
34.93306	-101.83446	00298
45.37271	-96.42738	04526
37.87389	-99.81075	00441
44.22742	-93.15031	02418
40.31041	-94.63731	04296
40.95224	-96.06096	03170
41.24597	-97.33696	00147
40.61700	-84.18282	06435
42.55436	-74.19443	04025
47.83468	-100.76799	00303
44.05020	-88.22005	04430
35.43651	-101.36973	00053
37.54628	-99.99083	00239
44.95987	-85.76509	05579
34.85728	-103.61320	00012
44.49339	-97.45123	00271
44.22551	-96.23589	00109
44.34765	-99.53757	00149
37.16047	-80.17902	04522
44.92691	-94.98367	03742
42.41031	-73.15393	06044
34.51074	-103.25455	02792
36.70432	-101.87070	01996
43.19781	-82.96370	06433
44.93042	-71.80631	03421
42.19522	-95.03493	00586
41.95689	-84.44183	06661
43.70828	-95.12109	00580
40.37812	-85.80850	05290
45.46255	-69.72839	02799
43.06742	-95.55466	00579
43.37300	-82.86977	06073
40.16906	-77.78857	05789
42.81777	-78.20366	03906
39.42624	-97.57772	00240
43.83338	-83.20500	05019
36.58018	-98.20412	02140
42.36014	-95.33662	01283
35.70861	-82.85020	04713
41.50172	-89.60090	04285
38.35665	-94.30177	04868
42.48945	-71.89629	05829
39.12862	-74.86051	07826
43.36227	-84.49199	06637
40.00039	-86.57104	04546
41.75329	-71.70672	07827
44.40294	-70.55964	04404
42.79483	-104.00823	00156
46.69700	-87.87321	06592
36.83474	-102.01158	01675
45.98227	-104.32791	00065
34.65353	-96.78272	04804
41.87080	-95.41212	01135
42.55223	-95.31924	00783
36.61260	-102.95631	01882
40.57896	-87.43396	04136
39.50836	-78.17267	05711
44.22198	-95.96693	00293
42.64962	-101.95992	00083
43.90780	-93.58751	01868
34.98737	-97.91197	05237
43.06858	-84.02640	06681
40.07328	-79.26138	06567
38.05334	-102.76097	05623
35.51671	-98.05428	02342
47.05330	-102.73250	00329
35.77607	-100.94349	00361
42.80944	-74.78797	04883
37.90490	-100.37347	00363
45.08325	-71.16737	04644
39.38928	-85.44521	06945
40.27451	-86.40069	04475
44.82454	-71.34403	01350
42.60723	-74.01476	04216
34.98420	-104.03971	00001
41.57300	-85.54388	04657
43.81741	-95.78057	00319
40.80335	-103.51732	05713
40.88754	-89.13254	04668
42.84269	-78.32896	04988
43.25128	-94.79911	01596
35.57376	-98.79869	01271
36.50616	-100.92200	00620
46.46830	-87.61063	06341
42.41419	-74.95483	05150
39.62344	-77.50959	06931
37.32309	-95.36351	04620
37.15090	-80.08382	05659
43.31385	-101.27724	00243
43.10670	-95.84448	01204
40.78102	-78.28669	06892
43.64248	-86.35085	06340
35.18734	-100.82249	00495
40.54336	-86.39931	04854
39.53430	-79.51897	05966
40.87202	-86.38568	05431
42.83184	-74.12824	05511
40.57637	-103.95248	06168
44.11929	-92.85609	02008
48.16903	-101.23149	02641
45.55218	-104.25478	00019
41.59420	-85.69826	05355
41.78816	-90.13632	04637
39.41066	-79.25766	05405
47.05743	-104.24586	00393
44.02604	-82.95650	03939
42.52628	-101.85682	00074
40.94393	-78.77750	07183
44.62473	-97.70111	00231
45.65536	-95.69550	04149
36.77184	-103.59163	00437
45.99182	-103.70504	00330
44.69498	-87.61282	04969
39.41389	-75.43745	07814
42.60960	-94.75323	02072
42.74594	-95.31315	00852
36.98259	-93.87574	04865
39.59929	-96.78590	01112
42.56298	-99.78204	00431
43.77002	-71.89901	06610
40.53215	-97.14531	01028
36.45710	-84.01145	06976
41.95617	-86.47575	05680
45.96560	-98.96406	00273
36.70262	-100.16888	01993
40.20081	-95.17564	03464
44.32611	-95.80998	00301
43.20622	-83.08974	06353
41.82625	-101.84712	00266
44.99843	-103.20966	00396
43.30171	-99.37158	00183
45.56139	-70.65891	05058
44.20295	-72.35274	04483
43.25019	-78.18909	05629
45.30729	-70.70984	04294
35.43056	-99.11781	02034
39.73606	-78.90006	03549
45.56588	-95.37122	04299
40.33742	-91.33285	07070
35.01112	-103.46213	01783
46.75154	-88.12048	05388
43.33793	-89.42156	05899
44.84694	-94.93469	03625
41.19506	-75.84016	07350
44.31384	-98.10806	02687
45.08928	-70.12524	02847
43.57129	-92.18151	01895
35.35015	-90.35189	07566
46.19994	-69.74078	03070
44.08319	-97.88945	02388
36.48706	-99.92097	00496
43.29674	-100.10538	00035
37.02874	-94.32123	04806
41.50523	-76.07149	05550
38.13316	-84.58225	07800
35.46680	-98.52818	01712
44.61766	-71.02132	05107
45.85598	-94.23182	06613
46.11317	-68.46675	04677
42.52505	-88.69098	05451
45.58204	-69.40916	00072
37.22279	-81.46052	06703
34.95509	-103.28804	00007
36.57188	-97.74251	02412
43.33861	-94.53728	02166
42.71173	-95.19849	01244
40.37653	-85.57788	05505
43.21303	-73.14275	02463
41.77775	-101.11353	00076
43.66796	-88.05900	05325
36.01587	-94.22475	05241
43.80639	-93.45160	01643
44.16075	-93.15041	02303
44.92921	-74.02594	05433
38.90747	-98.30371	00669
42.34970	-95.76339	00979
44.28389	-89.37895	06551
44.05563	-86.40139	06102
36.09130	-100.10216	00238
43.56923	-93.68593	01499
44.84403	-96.50758	00155
44.32710	-96.36800	00060
42.69209	-96.14401	00675
43.42796	-94.92500	00424
42.40083	-96.63438	02473
42.62173	-95.83860	00691
40.17091	-94.93032	04106
42.01406	-98.24941	00107
41.11510	-88.55427	04477
41.50512	-86.31068	06092
34.52626	-96.84480	03964
44.27114	-95.21541	02163
41.19972	-89.87360	04667
44.70063	-94.41707	04059
36.30100	-94.47687	05374
44.75379	-74.33723	06568
39.59841	-101.17380	01400
41.74244	-95.54167	01293
47.49368	-101.08938	01409
41.50926	-76.19099	05751
40.78000	-88.33022	04214
40.24917	-86.64371	04469
35.28342	-101.75613	00569
41.78767	-103.82124	00113
43.37074	-95.57500	00879
35.20553	-102.52039	00627
35.93964	-84.80933	06634
45.02834	-102.53200	00135
40.55225	-87.55763	04365
44.27617	-95.57687	00611
40.21414	-79.37942	06949
41.95612	-101.28220	00054
44.45641	-99.17266	00040
42.40434	-79.22904	04711
42.52143	-100.78349	00223
37.54040	-99.58828	00213
37.64800	-101.00752	00763
35.92835	-93.77424	05094
41.18427	-74.38678	07816
43.55814	-98.61700	02331
42.53846	-95.58298	00778
40.49257	-88.53575	03945
34.85702	-95.34323	05176
41.91489	-71.60806	07838
46.02131	-95.96615	04189
42.66922	-97.42626	00312
40.07683	-86.38704	04744
36.65081	-103.37671	00529
35.37619	-99.26737	01774
39.20058	-77.79758	04437
42.79372	-95.66928	00934
43.54851	-95.91227	01079
46.89158	-103.83643	00163
40.12461	-83.62579	04882
41.78535	-100.89562	00044
46.38290	-96.99494	03051
41.84332	-88.93156	04177
34.43583	-101.56750	00577
39.92754	-86.70014	05017
34.87310	-103.97622	00004
42.22965	-73.15954	06165
38.83881	-96.23994	00443
40.48267	-88.75626	03978
41.25179	-97.48835	00145
44.23149	-72.99540	05263
44.19962	-93.05050	01410
35.89761	-99.40189	02079
42.96871	-100.57882	01267
45.39850	-103.51002	00304
33.95828	-103.80562	01664
36.50328	-99.70435	01257
40.27267	-86.29658	04436
42.49733	-86.23854	04638
36.44224	-97.55667	02291
38.72651	-87.41867	07575
45.95507	-70.09208	04611
46.99603	-103.85255	00370
41.18581	-103.54571	00695
40.22508	-87.09370	04943
42.65802	-98.65850	00143
42.96952	-75.75002	04608
44.78677	-85.70977	06416
45.43818	-103.14471	00025
38.90319	-75.33390	07809
46.00340	-69.89163	04184
42.48742	-77.54662	05222
36.58513	-101.24793	02351
45.85345	-95.92840	03992
38.66470	-98.40477	00212
40.04250	-94.49341	03863
43.83165	-69.66907	06861
38.07880	-78.78602	05753
43.08116	-78.13417	05548
41.00395	-85.59901	06109
43.52005	-71.34988	04676
43.05782	-89.55964	05990
43.00141	-72.10691	05300
43.77787	-88.68056	05426
38.78820	-75.20702	07806
42.51427	-95.13698	00999
40.58638	-88.12054	04476
42.99880	-84.45438	06697
43.98178	-87.81875	05134
42.54321	-98.83617	00581
44.24467	-92.87944	01840
36.19126	-99.81639	00631
40.80520	-87.24062	04102
42.72457	-96.39441	00481
39.28293	-79.30161	05340
39.83799	-79.14961	05512
46.83592	-102.05988	00328
42.12300	-73.46317	04027
41.99540	-80.42062	07178
36.33945	-99.49441	01272
40.77670	-86.65580	07855
41.89262	-73.21762	06869
43.93413	-93.39297	02157
39.38358	-79.08138	04750
36.59120	-98.29004	02239
36.57010	-100.94019	02247
40.89811	-87.52759	04734
43.91479	-83.17165	04812
36.71647	-100.35942	01021
39.51653	-96.36034	00630
39.25626	-99.36541	01109
40.52724	-94.14126	04187
42.93446	-101.06921	00127
40.26294	-88.49282	04606
46.73381	-101.70770	00258
42.35834	-74.21485	02848
44.29143	-97.39384	00435
43.14339	-95.42392	01106
44.14632	-99.24900	02431
44.07365	-100.12069	00640
43.36518	-83.05410	06000
45.21741	-100.10531	00420
45.46999	-70.13160	00042
45.22039	-71.10276	03033
38.38022	-99.40435	00444
36.76725	-103.73685	00216
43.14957	-92.04406	04179
39.25142	-75.50955	07828
35.23426	-102.02290	00081
36.60285	-83.85574	06273
42.58726	-77.82688	05366
43.13146	-85.79694	06101
36.19663	-100.86420	00194
40.16316	-78.77089	07017
43.41024	-88.30589	05326
41.12491	-103.95768	00289
40.44887	-93.47247	03904
40.11351	-90.99169	06385
46.60251	-100.76565	00101
42.90266	-100.90954	00242
38.74287	-75.11037	07792
36.52195	-98.05182	01930
42.00971	-73.18840	06811
43.63752	-94.54347	02209
40.52354	-88.44894	04023
43.05538	-78.29845	05177
39.35624	-79.35506	04401
38.06230	-99.61162	00389
44.62951	-102.50159	00378
39.66203	-101.07675	01341
37.66307	-96.61501	01321
43.12229	-93.98617	02321
37.37337	-99.90126	00417
34.43359	-97.29272	02027
45.57484	-103.07362	00182
45.71937	-95.40025	04330
42.44965	-74.60535	04026
44.65707	-96.23648	00790
45.57843	-102.74039	00257
40.41532	-88.22292	04290
42.83341	-85.22916	07289
44.42427	-97.61037	00411
41.17336	-83.30965	05784
46.63784	-101.15323	00375
38.85839	-79.93600	05261
43.81344	-96.28912	00474
39.98847	-84.63811	06543
43.51076	-99.47652	00108
43.51438	-93.85085	02486
40.05886	-79.49077	07402
39.81782	-74.26074	07852
41.92882	-98.54958	00250
42.30310	-74.75547	05266
35.90702	-94.12616	04091
42.49581	-88.53584	05385
43.37047	-93.56618	02673
39.28082	-101.70092	01120
44.61023	-97.52718	00335
44.26610	-95.66763	00232
36.56776	-100.54219	00446
47.89130	-100.89564	00358
46.72251	-102.69712	00429
39.99988	-94.87727	04217
39.51231	-79.36829	06526
43.55434	-92.06419	02845
35.20983	-101.51930	00621
38.31004	-94.19680	04836
36.88163	-99.84766	02397
36.23542	-84.47001	06423
45.49285	-104.32595	00005
39.85916	-83.53285	06695
44.97368	-72.52982	01411
43.68117	-83.53404	05547
41.89765	-77.67902	06930
43.76605	-88.85286	04844
47.54319	-102.95831	00207
40.55830	-86.21455	05057
44.25282	-92.75323	02248
41.59101	-94.97336	01423
44.35299	-92.83058	03163
36.41673	-101.24026	00503
